Ozone,Solar.R,Wind,Temp,Month,Day,date,Date
168.0,238.0,3.4,81,8,25,2016-08-25,2016-08-25
73.0,215.0,8.0,86,8,26,2016-08-26,2016-08-26
,153.0,5.7,88,8,27,2016-08-27,2016-08-27
76.0,203.0,9.7,97,8,28,2016-08-28,2016-08-28
118.0,225.0,2.3,94,8,29,2016-08-29,2016-08-29
84.0,237.0,6.3,96,8,30,2016-08-30,2016-08-30
85.0,188.0,6.3,94,8,31,2016-08-31,2016-08-31
96.0,167.0,6.9,91,9,1,2016-09-01,2016-09-01
78.0,197.0,5.1,92,9,2,2016-09-02,2016-09-02
73.0,183.0,2.8,93,9,3,2016-09-03,2016-09-03
91.0,189.0,4.6,93,9,4,2016-09-04,2016-09-04
47.0,95.0,7.4,87,9,5,2016-09-05,2016-09-05
32.0,92.0,15.5,84,9,6,2016-09-06,2016-09-06
20.0,252.0,10.9,80,9,7,2016-09-07,2016-09-07
23.0,220.0,10.3,78,9,8,2016-09-08,2016-09-08
21.0,230.0,10.9,75,9,9,2016-09-09,2016-09-09
24.0,259.0,9.7,73,9,10,2016-09-10,2016-09-10
44.0,236.0,14.9,81,9,11,2016-09-11,2016-09-11
21.0,259.0,15.5,76,9,12,2016-09-12,2016-09-12
28.0,238.0,6.3,77,9,13,2016-09-13,2016-09-13
9.0,24.0,10.9,71,9,14,2016-09-14,2016-09-14
13.0,112.0,11.5,71,9,15,2016-09-15,2016-09-15
46.0,237.0,6.9,78,9,16,2016-09-16,2016-09-16
18.0,224.0,13.8,67,9,17,2016-09-17,2016-09-17
13.0,27.0,10.3,76,9,18,2016-09-18,2016-09-18
24.0,238.0,10.3,68,9,19,2016-09-19,2016-09-19
16.0,201.0,8.0,82,9,20,2016-09-20,2016-09-20
13.0,238.0,12.6,64,9,21,2016-09-21,2016-09-21
23.0,14.0,9.2,71,9,22,2016-09-22,2016-09-22
36.0,139.0,10.3,81,9,23,2016-09-23,2016-09-23
7.0,49.0,10.3,69,9,24,2016-09-24,2016-09-24
14.0,20.0,16.6,63,9,25,2016-09-25,2016-09-25
30.0,193.0,6.9,70,9,26,2016-09-26,2016-09-26
,145.0,13.2,77,9,27,2016-09-27,2016-09-27
14.0,191.0,14.3,75,9,28,2016-09-28,2016-09-28
18.0,131.0,8.0,76,9,29,2016-09-29,2016-09-29
20.0,223.0,11.5,68,9,30,2016-09-30,2016-09-30
